Semiconductors,gap
Cu2Mg1Sn1Se4_stannite,0.97
Cu2Mg1Sn1Te4_kesterite,0.64
Cu2Mg1Sn1Te4_stannite,0.75
Cu2Sr1Ge1S4_kesterite,1.57
Cu2Sr1Ge1S4_stannite,1.83
Cu2Sr1Ge1Se4_kesterite,0.9
Cu2Sr1Ge1Se4_stannite,1.49
Cu2Sr1Ge1Te4_kesterite,0.46
Cu2Sr1Ge1Te4_stannite,1.36
Cu2Sr1Sn1S4_kesterite,1.56
Cu2Sr1Sn1S4_stannite,1.77
Cu2Sr1Sn1Se4_kesterite,0.9
Cu2Sr1Sn1Se4_stannite,1.41
Cu2Sr1Sn1Te4_kesterite,0.46
Cu2Sr1Sn1Te4_stannite,1.36
Cu2Zn1Ge1S4_kesterite,1.45
Cu2Zn1Ge1S4_stannite,1.28
Cu2Zn1Ge1Se4_kesterite,0.78
Cu2Zn1Ge1Se4_stannite,0.59
Cu2Zn1Ge1Te4_kesterite,0.52
Cu2Zn1Ge1Te4_stannite,0.35
Cu2Zn1Sn0.25Zr0.75S2Se2_kesterite,2.1
Cu2Zn1Sn0.25Zr0.75S2Se2_stannite,1.26
Cu2Zn1Sn0.25Zr0.75S4_kesterite,2.31
Cu2Zn1Sn0.25Zr0.75S4_stannite,1.62
Cu2Zn1Sn0.25Zr0.75Se4_kesterite,1.7
Cu2Zn1Sn0.25Zr0.75Se4_stannite,1.67
Cu2Zn1Sn0.5Zr0.5S2Se2_kesterite,1.52
Cu2Zn1Sn0.5Zr0.5S2Se2_stannite,1.26
Cu2Zn1Sn0.5Zr0.5S4_kesterite,1.84
Cu2Zn1Sn0.5Zr0.5S4_stannite,1.66
Cu2Zn1Sn0.5Zr0.5Se4_kesterite,1.32
Cu2Zn1Sn0.5Zr0.5Se4_stannite,1.14
Cu2Zn1Sn0.75Zr0.25S2Se2_kesterite,1.3
Cu2Zn1Sn0.75Zr0.25S2Se2_stannite,1.03
Cu2Zn1Sn0.75Zr0.25S4_kesterite,1.58
Cu2Zn1Sn0.75Zr0.25S4_stannite,1.41
Cu2Zn1Sn0.75Zr0.25Se4_kesterite,1.07
Cu2Zn1Sn0.75Zr0.25Se4_stannite,0.89
Cu2Zn1Sn1S2Se2_kesterite,0.98
Cu2Zn1Sn1S2Se2_stannite,0.92
Cu2Zn1Sn1S4_kesterite,1.24
Cu2Zn1Sn1S4_stannite,1.1
Cu2Zn1Sn1Se4_kesterite,0.77
Cu2Zn1Sn1Se4_stannite,0.57
Cu2Zn1Sn1Te4_kesterite,0.52
Cu2Zn1Sn1Te4_stannite,0.35
Cu2Zn1Zr1S2Se2_kesterite,1.64
Cu2Zn1Zr1S2Se2_stannite,1.85
Cu2Zn1Zr1S4_kesterite,1.72
Cu2Zn1Zr1S4_stannite,1.66
Cu2Zn1Zr1Se4_kesterite,1.54
Cu2Zn1Zr1Se4_stannite,1.5
K0.5Ag0.5Al0.5Ga0.5S1Te1_kesterite,1.74
K0.5Ag0.5Al0.5Ga0.5S1Te1_stannite,0.61
K0.5Ag0.5Al0.5In0.5S2_kesterite,2.39
K0.5Ag0.5Al1S1Te1_kesterite,2.45
K0.5Ag0.5Al1S1Te1_stannite,0.87
K0.5Ag0.5Al1S2_kesterite,3.41
K0.5Ag0.5Al1Se1Te1_kesterite,2.16
K0.5Ag0.5Al1Se1Te1_stannite,0.88
K0.5Ag0.5Ga0.5In0.5S1Se1_kesterite,1.79
K0.5Ag0.5Ga0.5In0.5S1Se1_stannite,1.32
K0.5Ag0.5Ga0.5In0.5Se1Te1_kesterite,1.3
K0.5Ag0.5Ga0.5In0.5Se1Te1_stannite,0.48
K0.5Ag0.5Ga0.5In0.5Se2_kesterite,1.57
K0.5Ag0.5Ga0.5In0.5Se2_stannite,0.88
K0.5Ag0.5In1S1Te1_kesterite,1.46
K0.5Ag0.5In1S1Te1_stannite,0.61
K0.5Ag0.5In1Te2_kesterite,1.11
K0.5Cs0.5Al0.5Ga0.5S1Se1_kesterite,3.67
K0.5Cs0.5Al0.5Ga0.5S1Se1_stannite,1.44
K0.5Cs0.5Al0.5Ga0.5S1Te1_kesterite,2.72
K0.5Cs0.5Al0.5Ga0.5S1Te1_stannite,0.51
K0.5Cs0.5Al0.5Ga0.5S2_kesterite,4.1
K0.5Cs0.5Al0.5Ga0.5Se2_kesterite,2.98
K0.5Cs0.5Al0.5Ga0.5Se2_stannite,1.62
K0.5Cs0.5Al0.5In0.5S1Se1_kesterite,3.17
K0.5Cs0.5Al0.5In0.5S1Se1_stannite,1.53
K0.5Cs0.5Al0.5In0.5Se1Te1_kesterite,2.36
K0.5Cs0.5Al0.5In0.5Se1Te1_stannite,0.73
K0.5Cs0.5Al0.5In0.5Te2_kesterite,2.17
K0.5Cs0.5Al0.5In0.5Te2_stannite,0.89
K0.5Cs0.5Al1S2_kesterite,4.45
K0.5Cs0.5Cu0.5Ag0.5Ba0.5Zn0.5Ge1S1Se1Te2_kesterite,1.19
K0.5Cs0.5Cu0.5Ag0.5Ba0.5Zn0.5Ge1S1Se1Te2_stannite,0.63
K0.5Cs0.5Cu0.5Ag0.5Mg0.5Zn0.5Ge1S1Se1Te2_kesterite,1.26
K0.5Cs0.5Cu0.5Ag0.5Mg0.5Zn0.5Ge1S1Se1Te2_stannite,0.46
K0.5Cs0.5Cu0.5Ag0.5Sr0.5Zn0.5Sn0.5Ge0.5S4_stannite,1.52
K0.5Cs0.5Cu0.5Ag0.5Zn1Sn1Se1Te3_kesterite,0.77
K0.5Cs0.5Cu0.5Ag0.5Zn1Sn1Se1Te3_stannite,0.37
K0.5Cs0.5Ga0.5In0.5S1Se1_stannite,1.21
K0.5Cs0.5Ga0.5In0.5S2_kesterite,3.19
K0.5Cs0.5Ga0.5In0.5S2_stannite,2.2
K0.5Cs0.5In1S1Se1_stannite,1.37
K0.5Cs0.5In1Se2_kesterite,2.12
K0.5Cs0.5In1Se2_stannite,1.61
K0.5Cs1Ag0.5Zn1Ge1S3Te1_stannite,0.36
K0.5Cu0.5Ag1Ca0.5Sr0.5Sn1S4_kesterite,1.08
K0.5Cu0.5Ag1Cd1Ge1S4_kesterite,0
K0.5Cu0.5Ag1Cd1Ge1S4_stannite,0.94
K0.5Cu0.5Ag1Cd1Ge1Se4_kesterite,-0.18
K0.5Cu0.5Ag1Cd1Ge1Se4_stannite,0.61
K0.5Cu0.5Ag1Mg0.5Zn0.5Ge1Se4_kesterite,0.09
K0.5Cu0.5Ag1Mg0.5Zn0.5Ge1Se4_stannite,0.69
K0.5Cu0.5Ag1Mg0.5Zn0.5Ge1Te4_kesterite,1.01
K0.5Cu0.5Ag1Mg0.5Zn0.5Ge1Te4_stannite,0.27
K0.5Cu0.5Ag1Zn0.5Cd0.5Sn1Te4_kesterite,0.77
K0.5Cu0.5Ag1Zn0.5Cd0.5Sn1Te4_stannite,0.24
K0.5Cu0.5Al0.5Ga0.5S1Se1_kesterite,1.68
K0.5Cu0.5Al0.5Ga0.5S1Se1_stannite,1.69
K0.5Cu0.5Al0.5Ga0.5S2_stannite,1.95
K0.5Cu0.5Al0.5Ga0.5Se1Te1_kesterite,1.4
K0.5Cu0.5Al0.5Ga0.5Se1Te1_stannite,0.76
K0.5Cu0.5Al0.5Ga0.5Se2_kesterite,1.49
K0.5Cu0.5Al0.5Ga0.5Se2_stannite,1.1
K0.5Cu0.5Al0.5In0.5S2_kesterite,2.2
K0.5Cu0.5Al0.5In0.5S2_stannite,1.76
K0.5Cu0.5Ga0.5In0.5S1Se1_kesterite,-0.26
K0.5Cu0.5Ga0.5In0.5S1Se1_stannite,1.36
K0.5Cu0.5Ga0.5In0.5Se1Te1_kesterite,1.02
K0.5Cu0.5Ga0.5In0.5Se1Te1_stannite,0.64
K0.5Cu0.5Ga1S2_kesterite,-0.25
K0.5Cu0.5Ga1S2_stannite,1.23
K0.5Cu0.5Ga1Se2_kesterite,0.95
K0.5Cu0.5Ga1Se2_stannite,0.8
K0.5Cu0.5In1Se2_kesterite,1.29
K0.5Cu0.5In1Se2_stannite,0.8
K0.5Cu1.5Ca0.5Ba0.5Sn1S3Se1_kesterite,-0.31
K0.5Cu1.5Ca0.5Ba0.5Sn1S3Se1_stannite,1.99
K0.5Cu1.5Ca0.5Sr0.5Ge1S4_kesterite,-0.08
K0.5Cu1.5Sr0.5Zn0.5Sn1S3Se1_kesterite,1.55
K0.5Cu1.5Zn0.5Cd0.5Sn1S2Se1Te1_stannite,0.23
K0.5Cu1.5Zn1Ge1S4_kesterite,-0.06
K0.5Cu1.5Zn1Ge1S4_stannite,1.66
K0.5Cu1Ag0.5Cd1Ge1S1Se2Te1_stannite,0.59
K0.5Cu1Ag0.5Cd1Sn0.5Ge0.5Se1Te3_kesterite,0.78
K0.5Cu1Ag0.5Cd1Sn0.5Ge0.5Se1Te3_stannite,0.37
K0.5Cu1Ag0.5Mg0.5Ca0.5Sn1S4_stannite,1.77
K0.5Cu1Ag0.5Sr0.5Zn0.5Ge1S3Se1_kesterite,1.79
K0.5Cu1Ag0.5Sr1Sn1Se3Te1_stannite,1.51
K0.5Cu1Ag0.5Zn1Sn0.5Ge0.5Se4_kesterite,1.08
K0.5Cu1Ag0.5Zn1Sn0.5Ge0.5Se4_stannite,0.67
K0.5Rb0.5Ag1Ca0.5Sr0.5Sn0.5Ge0.5S1Se3_stannite,1.85
K0.5Rb0.5Ag1Ca0.5Sr0.5Sn0.5Ge0.5Se1Te3_stannite,1.2
K0.5Rb0.5Ag1Mg0.5Zn0.5Ge1S3Te1_kesterite,2.26
K0.5Rb0.5Ag1Mg0.5Zn0.5Ge1Se3Te1_kesterite,1.23
K0.5Rb0.5Al0.5Ga0.5Se2_stannite,1.38
K0.5Rb0.5Al1Se1Te1_kesterite,3.04
K0.5Rb0.5Al1Se1Te1_stannite,0.92
K0.5Rb0.5Cs0.5Cu0.5Mg0.5Sr0.5Sn1S4_stannite,0.17
K0.5Rb0.5Cs0.5Cu0.5Mg1Sn0.5Ge0.5S3Te1_stannite,0.3
K0.5Rb0.5Cs0.5Cu0.5Zn1Sn1S4_kesterite,2.04
K0.5Rb0.5Cs0.5Cu0.5Zn1Sn1S4_stannite,1.25
K0.5Rb0.5Cs1Ba0.5Cd0.5Sn1S4_stannite,2.41
K0.5Rb0.5Cu0.5Ag0.5Ba0.5Cd0.5Sn1Se2Te2_kesterite,1
K0.5Rb0.5Cu0.5Ag0.5Ba0.5Cd0.5Sn1Se2Te2_stannite,0.75
K0.5Rb0.5Cu0.5Ag0.5Mg0.5Ba0.5Ge1S2Te2_kesterite,1.65
K0.5Rb0.5Cu0.5Ag0.5Mg0.5Ba0.5Ge1S2Te2_stannite,1.37
K0.5Rb0.5Cu0.5Ag0.5Mg0.5Cd0.5Ge1S1Se2Te1_stannite,0.62
K0.5Rb0.5Cu0.5Ag0.5Mg1Ge1Te4_stannite,0.73
K0.5Rb0.5Cu0.5Ag0.5Zn0.5Cd0.5Ge1Se4_stannite,0.72
K0.5Rb0.5Cu1Ba0.5Cd0.5Ge1S3Te1_kesterite,2.24
K0.5Rb0.5Cu1Ba0.5Cd0.5Ge1S3Te1_stannite,0.88
K0.5Rb0.5Cu1Mg0.5Ca0.5Ge1S1Se2Te1_kesterite,-0.47
K0.5Rb0.5Cu1Mg0.5Ca0.5Ge1S1Se2Te1_stannite,1.12
K0.5Rb0.5Cu1Sr0.5Cd0.5Sn0.5Ge0.5S2Se2_stannite,1.16
K0.5Rb0.5Cu1Sr0.5Zn0.5Sn0.5Ge0.5Se3Te1_kesterite,0.95
K0.5Rb0.5Cu1Sr0.5Zn0.5Sn0.5Ge0.5Se3Te1_stannite,0.7
K0.5Rb0.5Ga0.5In0.5S1Se1_kesterite,2.77
K0.5Rb0.5Ga0.5In0.5S1Se1_stannite,1.32
K0.5Rb0.5Ga0.5In0.5Se1Te1_kesterite,2.16
K0.5Rb0.5Ga0.5In0.5Se1Te1_stannite,0.59
K0.5Rb0.5Ga0.5In0.5Se2_stannite,1.52
K0.5Rb0.5Ga0.5In0.5Te2_stannite,0.77
K0.5Rb0.5Ga1S1Se1_kesterite,3.08
K0.5Rb0.5Ga1S1Se1_stannite,1.3
K0.5Rb0.5Ga1S2_kesterite,3.57
K0.5Rb0.5Ga1Se1Te1_kesterite,2.31
K0.5Rb0.5Ga1Se1Te1_stannite,0.35
K0.5Rb0.5In1Te2_kesterite,1.74
K0.5Rb0.5In1Te2_stannite,0.87
K0.5Rb1.5Ba0.5Zn0.5Ge1S1Se1Te2_kesterite,1.73
K0.5Rb1.5Ba0.5Zn0.5Ge1S1Se1Te2_stannite,0.68
K0.5Rb1.5Ca0.5Sr0.5Sn0.5Ge0.5S2Te2_kesterite,1.85
K0.5Rb1.5Ca0.5Sr0.5Sn0.5Ge0.5S2Te2_stannite,1.31
K0.5Rb1.5Mg0.5Sr0.5Sn0.5Ge0.5S1Se1Te2_stannite,0.49
K0.5Rb1.5Sr0.5Zn0.5Sn0.5Ge0.5S2Se2_kesterite,3.13
K0.5Rb1.5Sr1Ge1Se1Te3_stannite,1.2
K0.5Rb1.5Sr1Sn1S2Te2_kesterite,1.46
K0.5Rb1Ag0.5Mg0.5Ba0.5Sn1S1Se3_kesterite,1.7
K0.5Rb1Ag0.5Mg0.5Ba0.5Sn1S1Se3_stannite,0.97
K0.5Rb1Ag0.5Mg1Ge1S2Te2_kesterite,1.96
K0.5Rb1Ag0.5Mg1Ge1S2Te2_stannite,0.67
K0.5Rb1Ag0.5Sr0.5Ba0.5Sn1Se1Te3_stannite,0.9
K0.5Rb1Ag0.5Zn1Sn1Te4_kesterite,1.5
K0.5Rb1Ag0.5Zn1Sn1Te4_stannite,0.36
K0.5Rb1Cs0.5Sr0.5Cd0.5Sn1S4_kesterite,3.21
K0.5Rb1Cs0.5Sr0.5Cd0.5Sn1S4_stannite,2.28
K0.5Rb1Cu0.5Ca0.5Zn0.5Ge1S2Se1Te1_stannite,1.53
K0.5Rb1Cu0.5Ca0.5Zn0.5Sn0.5Ge0.5Se2Te2_stannite,0.3
K0.5Rb1Cu0.5Mg1Ge1S1Te3_kesterite,1.26
K0.5Rb1Cu0.5Mg1Ge1S1Te3_stannite,0.61
K0.5Rb1Cu0.5Mg1Ge1Te4_stannite,0.6
K0.5Rb1Cu0.5Sr0.5Zn0.5Ge1S2Se2_stannite,0.06
K1.5Cs0.5Zn1Sn1Se2Te2_kesterite,1.87
K1.5Cs0.5Zn1Sn1Se2Te2_stannite,0.52
K1.5Cu0.5Ba0.5Zn0.5Sn1S2Se2_stannite,-0.16
K1.5Cu0.5Ba0.5Zn0.5Sn1S4_kesterite,1.97
K1.5Cu0.5Mg1Sn0.5Ge0.5S3Se1_stannite,1.16
K1.5Cu0.5Zn0.5Cd0.5Sn1Te4_stannite,0.45
K1.5Cu0.5Zn1Sn0.5Ge0.5S3Se1_stannite,1.14
K1.5Rb0.5Ca0.5Zn0.5Sn1Se3Te1_kesterite,2.11
K1.5Rb0.5Ca0.5Zn0.5Sn1Se3Te1_stannite,0.5
K1.5Rb0.5Zn1Sn1S1Se2Te1_kesterite,2.2
K1Ag1Sr0.5Cd0.5Ge1S2Se2_kesterite,1.69
K1Ag1Sr0.5Cd0.5Ge1S2Se2_stannite,1.25
K1Ag1Zn0.5Cd0.5Ge1Se1Te3_kesterite,1.16
K1Ag1Zn0.5Cd0.5Ge1Se1Te3_stannite,0.44
K1Al0.5Ga0.5Se1Te1_kesterite,2.61
K1Al0.5Ga0.5Se1Te1_stannite,0.74
K1Al0.5In0.5S2_kesterite,3.57
K1Al1S2_kesterite,4.8
K1Al1S2_stannite,2.99
K1Al1Se2_kesterite,3.58
K1Al1Se2_stannite,2.15
K1Al1Te2_kesterite,2.72
K1Al1Te2_stannite,1.53
K1Cs0.5Cu0.5Ca1Sn0.5Ge0.5Se3Te1_stannite,1.16
K1Cs1Ba0.5Zn0.5Sn1S3Te1_kesterite,2.5
K1Cs1Mg1Sn1Se3Te1_kesterite,2.43
K1Cs1Mg1Sn1Se3Te1_stannite,0.59
K1Cu1Ca0.5Sr0.5Sn0.5Ge0.5Te4_kesterite,0.93
K1Cu1Ca0.5Sr0.5Sn0.5Ge0.5Te4_stannite,0.95
K1Ga0.5In0.5S1Se1_stannite,1.37
K1Ga1S2_kesterite,3.71
K1Ga1S2_stannite,2.4
K1Ga1Se2_kesterite,2.68
K1Ga1Se2_stannite,1.53
K1Ga1Te2_kesterite,1.91
K1Ga1Te2_stannite,0.79
K1In1S2_kesterite,2.97
K1In1S2_stannite,2.45
K1In1Se1Te1_kesterite,2.03
K1In1Se2_kesterite,2.25
K1In1Se2_stannite,1.68
K1In1Te2_kesterite,1.85
K1In1Te2_stannite,1.09
K1Rb0.5Ag0.5Ca0.5Zn0.5Ge1S2Te2_kesterite,1.29
K1Rb0.5Ag0.5Ca0.5Zn0.5Ge1S2Te2_stannite,0.52
K1Rb0.5Ag0.5Mg0.5Ca0.5Ge1S1Se2Te1_kesterite,2.04
K1Rb0.5Ag0.5Mg0.5Ca0.5Ge1S1Se2Te1_stannite,0.55
K1Rb0.5Ag0.5Mg0.5Sr0.5Sn1Se1Te3_kesterite,1.61
K1Rb0.5Ag0.5Sr0.5Cd0.5Sn0.5Ge0.5S2Se1Te1_kesterite,2.27
K1Rb0.5Ag0.5Sr0.5Cd0.5Sn0.5Ge0.5S2Se1Te1_stannite,0.73
K1Rb0.5Ag0.5Sr0.5Zn0.5Ge1S1Se3_stannite,1.4
K1Rb0.5Ag0.5Sr1Sn0.5Ge0.5S1Se1Te2_kesterite,1.78
K1Rb0.5Ag0.5Sr1Sn0.5Ge0.5S1Se1Te2_stannite,1.85
K1Rb0.5Cs0.5Ba1Sn1S2Se2_kesterite,2.75
K1Rb0.5Cs0.5Ba1Sn1S2Se2_stannite,2.15
K1Rb0.5Cs0.5Mg0.5Ba0.5Sn0.5Ge0.5S2Se2_kesterite,3.08
K1Rb0.5Cs0.5Mg0.5Ba0.5Sn0.5Ge0.5S2Se2_stannite,1.5
K1Rb0.5Cs0.5Sr0.5Ba0.5Ge1S3Te1_kesterite,2.61
K1Rb0.5Cs0.5Sr0.5Ba0.5Ge1S3Te1_stannite,1.37
K1Rb1Ca0.5Cd0.5Sn0.5Ge0.5Se1Te3_stannite,1.11
K1Rb1Ca1Sn0.5Ge0.5S1Se2Te1_kesterite,2.44
K1Rb1Ca1Sn0.5Ge0.5S1Se2Te1_stannite,1.08
K1Rb1Sr1Ge1S1Se1Te2_stannite,1.31
K2Ba1Ge1S4_kesterite,3.5
K2Ba1Ge1S4_stannite,3.1
K2Ba1Ge1Se4_kesterite,2.63
K2Ba1Ge1Se4_stannite,2.47
K2Ba1Ge1Te4_kesterite,1.41
K2Ba1Ge1Te4_stannite,1.82
K2Ba1Sn1S4_kesterite,3.38
K2Ba1Sn1S4_stannite,3.14
K2Ba1Sn1Se4_kesterite,2.76
K2Ba1Sn1Se4_stannite,2.52
K2Ba1Sn1Te4_kesterite,1.7
K2Ba1Sn1Te4_stannite,1.94
K2Ca0.5Sr0.5Sn1S1Se2Te1_kesterite,2.54
K2Ca0.5Sr0.5Sn1S1Se2Te1_stannite,1.18
K2Ca1Ge1S4_kesterite,3.65
K2Ca1Ge1S4_stannite,2.96
K2Ca1Ge1Se4_kesterite,2.69
K2Ca1Ge1Se4_stannite,2.23
K2Ca1Ge1Te4_kesterite,1.39
K2Ca1Ge1Te4_stannite,1.52
K2Ca1Sn1S4_kesterite,3.69
K2Ca1Sn1S4_stannite,2.95
K2Ca1Sn1Se4_kesterite,2.92
K2Ca1Sn1Se4_stannite,2.29
K2Ca1Sn1Te4_kesterite,1.71
K2Ca1Sn1Te4_stannite,1.66
K2Cd1Ge1S4_kesterite,2.44
K2Cd1Ge1S4_stannite,1.59
K2Cd1Ge1Se4_kesterite,2.44
K2Cd1Ge1Se4_stannite,1.59
K2Cd1Ge1Te4_kesterite,1.63
K2Cd1Ge1Te4_stannite,0.98
K2Cd1Sn1S4_kesterite,2.94
K2Cd1Sn1S4_stannite,2.42
K2Cd1Sn1Se4_kesterite,2.19
K2Cd1Sn1Se4_stannite,1.68
K2Cd1Sn1Te4_kesterite,1.74
K2Cd1Sn1Te4_stannite,1.04
K2Mg1Ge1S4_kesterite,4.16
K2Mg1Ge1S4_stannite,2.62
K2Mg1Ge1Se4_kesterite,3.08
K2Mg1Ge1Se4_stannite,1.76
K2Mg1Ge1Te4_kesterite,1.6
K2Mg1Ge1Te4_stannite,1.11
K2Mg1Sn1S4_kesterite,3.61
K2Mg1Sn1S4_stannite,2.62
K2Mg1Sn1Se4_kesterite,2.75
K2Mg1Sn1Se4_stannite,1.83
K2Mg1Sn1Te4_kesterite,1.8
K2Mg1Sn1Te4_stannite,1.19
K2Sr1Ge1S4_kesterite,3.6
K2Sr1Ge1S4_stannite,3.06
K2Sr1Ge1Se4_kesterite,2.68
K2Sr1Ge1Se4_stannite,2.32
K2Sr1Ge1Te4_kesterite,1.4
K2Sr1Ge1Te4_stannite,1.65
K2Sr1Sn1S4_kesterite,3.51
K2Sr1Sn1S4_stannite,3.07
K2Sr1Sn1Se4_kesterite,2.85
K2Sr1Sn1Se4_stannite,2.38
K2Sr1Sn1Te4_kesterite,1.68
K2Sr1Sn1Te4_stannite,1.79
K2Zn1Ge1S4_kesterite,3.65
K2Zn1Ge1S4_stannite,2.27
K2Zn1Ge1Se4_kesterite,2.63
K2Zn1Ge1Se4_stannite,1.39
K2Zn1Ge1Te4_kesterite,1.58
K2Zn1Ge1Te4_stannite,0.64
K2Zn1Sn1S4_kesterite,3.09
K2Zn1Sn1S4_stannite,2.3
K2Zn1Sn1Se4_kesterite,2.31
K2Zn1Sn1Se4_stannite,1.51
K2Zn1Sn1Te4_kesterite,1.75
K2Zn1Sn1Te4_stannite,0.76
Na0.5Ag0.5Al0.5Ga0.5Te2_kesterite,1.67
Na0.5Ag0.5Al0.5Ga0.5Te2_stannite,0.81
Na0.5Ag0.5Al0.5In0.5S1Se1_kesterite,2.16
Na0.5Ag0.5Al0.5In0.5S1Se1_stannite,1.63
Na0.5Ag0.5Al0.5In0.5S1Te1_kesterite,1.9
Na0.5Ag0.5Al0.5In0.5S1Te1_stannite,0.87
Na0.5Ag0.5Al0.5In0.5Se1Te1_kesterite,1.63
Na0.5Ag0.5Al0.5In0.5Se1Te1_stannite,0.72
Na0.5Ag0.5Al1S1Te1_kesterite,2.41
Na0.5Ag0.5Al1S1Te1_stannite,1.04
Na0.5Ag0.5Ga0.5In0.5S1Te1_kesterite,1.67
Na0.5Ag0.5Ga0.5In0.5S1Te1_stannite,0.62
Na0.5Ag0.5Ga0.5In0.5Se2_kesterite,1.56
Na0.5Ag0.5Ga0.5In0.5Se2_stannite,1
