Semiconductors,gap
Na1Cu0.5Ag0.5Ba0.5Cd0.5Ge1S4_stannite,1.31
Na1Cu0.5Ag0.5Ca0.5Sr0.5Ge1S1Se1Te2_kesterite,1.18
Na1Cu0.5Ag0.5Sr0.5Cd0.5Sn1S2Se2_stannite,1.58
Na1Cu1Ba0.5Zn0.5Sn0.5Ge0.5S1Se3_kesterite,1.52
Na1Cu1Ba0.5Zn0.5Sn0.5Ge0.5S1Se3_stannite,1.02
Na1Cu1Ca0.5Zn0.5Sn1Se2Te2_stannite,0.76
Na1Cu1Cd1Sn0.5Ge0.5S3Se1_stannite,1.24
Na1Cu1Mg0.5Sr0.5Sn1Se3Te1_stannite,1.05
Na1Ga1S1Se1_kesterite,3.1
Na1Ga1S1Se1_stannite,1.43
Na1Ga1S2_kesterite,3.8
Na1Ga1S2_stannite,2.74
Na1Ga1Se2_kesterite,2.72
Na1Ga1Se2_stannite,1.76
Na1Ga1Te2_kesterite,2.08
Na1Ga1Te2_stannite,0.92
Na1In1S2_kesterite,3.09
Na1In1S2_stannite,2.66
Na1In1Se2_kesterite,2.31
Na1In1Se2_stannite,1.78
Na1In1Te2_kesterite,1.89
Na1In1Te2_stannite,1.18
Na1K0.5Ag0.5Ba0.5Zn0.5Sn1S3Te1_kesterite,1.81
Na1K0.5Ag0.5Ba0.5Zn0.5Sn1S3Te1_stannite,-0.74
Na1K0.5Ag0.5Ba1Ge1S1Se1Te2_stannite,1.61
Na1K0.5Ag0.5Ca0.5Cd0.5Sn0.5Ge0.5S1Se1Te2_kesterite,1.3
Na1K0.5Ag0.5Mg0.5Ba0.5Sn0.5Ge0.5S3Te1_kesterite,2.15
Na1K0.5Ag0.5Mg0.5Ba0.5Sn0.5Ge0.5S3Te1_stannite,0.78
Na1K0.5Ag0.5Sr0.5Ba0.5Sn1S4_kesterite,1.77
Na1K0.5Ag0.5Sr0.5Ba0.5Sn1S4_stannite,1.73
Na1K0.5Cs0.5Ba0.5Cd0.5Ge1Se3Te1_stannite,1.63
Na1K0.5Cs0.5Sr1Ge1S1Se3_stannite,2.5
Na1K0.5Cu0.5Ba0.5Zn0.5Sn0.5Ge0.5S3Te1_stannite,1.57
Na1K0.5Cu0.5Ba0.5Zn0.5Sn1S1Te3_kesterite,1.24
Na1K0.5Cu0.5Ba0.5Zn0.5Sn1S1Te3_stannite,0.49
Na1K0.5Cu0.5Zn1Sn0.5Ge0.5S2Se1Te1_kesterite,1.97
Na1K0.5Cu0.5Zn1Sn0.5Ge0.5S2Se1Te1_stannite,-0.07
Na1K0.5Rb0.5Ba0.5Zn0.5Ge1Se4_stannite,1.53
Na1K0.5Rb0.5Ca0.5Ba0.5Sn0.5Ge0.5S1Se1Te2_stannite,1.19
Na1K0.5Rb0.5Ca0.5Sr0.5Sn0.5Ge0.5Se3Te1_stannite,1.56
Na1K0.5Rb0.5Cd1Ge1S1Se3_kesterite,2.39
Na1K0.5Rb0.5Cd1Ge1S1Se3_stannite,1.46
Na1K0.5Rb0.5Mg0.5Ca0.5Sn1S3Se1_kesterite,2.7
Na1K0.5Rb0.5Mg0.5Ca0.5Sn1S3Se1_stannite,1.95
Na1K0.5Rb0.5Mg0.5Cd0.5Sn1Te4_stannite,1.17
Na1K0.5Rb0.5Sr1Ge1S3Te1_kesterite,2.45
Na1K0.5Rb0.5Sr1Ge1S3Te1_stannite,1.56
Na1K1Zn0.5Cd0.5Sn1S1Se2Te1_stannite,0.42
Na1Rb0.5Ag0.5Ca1Ge1S1Te3_stannite,1.54
Na1Rb0.5Ag0.5Cd1Sn0.5Ge0.5S1Se1Te2_kesterite,1.54
Na1Rb0.5Ag0.5Mg0.5Ca0.5Sn0.5Ge0.5S1Te3_stannite,0.52
Na1Rb0.5Ag0.5Mg0.5Zn0.5Sn1S2Se2_kesterite,2.67
Na1Rb0.5Ag0.5Mg0.5Zn0.5Sn1S2Se2_stannite,1.26
Na1Rb0.5Ag0.5Sr0.5Zn0.5Ge1S1Se3_kesterite,1.93
Na1Rb0.5Ag0.5Sr0.5Zn0.5Ge1S1Se3_stannite,0.86
Na1Rb0.5Cs0.5Ba1Sn1Se4_kesterite,2.49
Na1Rb0.5Cs0.5Ba1Sn1Se4_stannite,2.56
Na1Rb0.5Cu0.5Ca0.5Cd0.5Sn1S3Te1_kesterite,1.93
Na1Rb0.5Cu0.5Ca0.5Cd0.5Sn1S3Te1_stannite,0.7
Na1Rb0.5Cu0.5Ca0.5Cd0.5Sn1Se4_kesterite,-0.3
Na1Rb0.5Cu0.5Ca0.5Cd0.5Sn1Se4_stannite,0.13
Na1Rb0.5Cu0.5Ca0.5Zn0.5Ge1S2Se1Te1_kesterite,2.29
Na1Rb0.5Cu0.5Ca1Sn1S3Se1_kesterite,-0.13
Na1Rb0.5Cu0.5Mg0.5Cd0.5Sn1S1Se2Te1_kesterite,1.91
Na1Rb0.5Cu0.5Mg0.5Cd0.5Sn1S1Se2Te1_stannite,0.31
Na1Rb0.5Cu0.5Mg1Sn0.5Ge0.5Te4_stannite,1.02
Na1Rb1Mg0.5Zn0.5Ge1S1Se2Te1_stannite,0.25
Na2Ba1Ge1S4_kesterite,3.37
Na2Ba1Ge1S4_stannite,3.49
Na2Ba1Ge1Se4_kesterite,2.6
Na2Ba1Ge1Se4_stannite,2.57
Na2Ba1Ge1Te4_kesterite,1.92
Na2Ba1Ge1Te4_stannite,1.19
Na2Ba1Sn1S4_kesterite,3.28
Na2Ba1Sn1S4_stannite,3.62
Na2Ba1Sn1Se4_kesterite,2.58
Na2Ba1Sn1Se4_stannite,2.79
Na2Ba1Sn1Te4_kesterite,2.06
Na2Ba1Sn1Te4_stannite,1.52
Na2Ca1Ge1S4_kesterite,3.86
Na2Ca1Ge1S4_stannite,3.4
Na2Ca1Ge1Se4_kesterite,3.02
Na2Ca1Ge1Se4_stannite,2.56
Na2Ca1Ge1Te4_kesterite,0.96
Na2Ca1Ge1Te4_stannite,1.86
Na2Ca1Sn1S4_kesterite,3.64
Na2Ca1Sn1S4_stannite,3.27
Na2Ca1Sn1Se4_kesterite,2.9
Na2Ca1Sn1Se4_stannite,2.52
Na2Ca1Sn1Te4_kesterite,2.21
Na2Ca1Sn1Te4_stannite,1.88
Na2Cd1Ge1S4_kesterite,2.44
Na2Cd1Ge1S4_stannite,1.76
Na2Cd1Ge1Se4_kesterite,2.44
Na2Cd1Ge1Se4_stannite,1.76
Na2Cd1Ge1Te4_kesterite,1.74
Na2Cd1Ge1Te4_stannite,1.05
Na2Cd1Sn1S4_kesterite,3.01
Na2Cd1Sn1S4_stannite,2.65
Na2Cd1Sn1Se4_kesterite,2.22
Na2Cd1Sn1Se4_stannite,1.81
Na2Cd1Sn1Te4_kesterite,1.71
Na2Cd1Sn1Te4_stannite,1.1
Na2Mg0.5Sr0.5Sn1S2Te2_kesterite,2.34
Na2Mg0.5Sr0.5Sn1S2Te2_stannite,1.23
Na2Mg1Ge1S3Se1_kesterite,2.88
Na2Mg1Ge1S3Se1_stannite,2
Na2Mg1Ge1S4_kesterite,3.95
Na2Mg1Ge1S4_stannite,2.96
Na2Mg1Ge1Se4_kesterite,2.89
Na2Mg1Ge1Se4_stannite,1.98
Na2Mg1Ge1Te4_kesterite,1.55
Na2Mg1Ge1Te4_stannite,1.25
Na2Mg1Sn1S4_kesterite,3.47
Na2Mg1Sn1S4_stannite,2.89
Na2Mg1Sn1Se4_kesterite,2.61
Na2Mg1Sn1Se4_stannite,2.03
Na2Mg1Sn1Te4_kesterite,1.85
Na2Mg1Sn1Te4_stannite,1.31
Na2Sr1Ge1S4_kesterite,3.62
Na2Sr1Ge1S4_stannite,3.69
Na2Sr1Ge1Se4_kesterite,2.82
Na2Sr1Ge1Se4_stannite,2.81
Na2Sr1Ge1Te4_kesterite,2.09
Na2Sr1Ge1Te4_stannite,2.1
Na2Sr1Sn1S4_kesterite,3.47
Na2Sr1Sn1S4_stannite,3.56
Na2Sr1Sn1Se4_kesterite,2.77
Na2Sr1Sn1Se4_stannite,2.75
Na2Sr1Sn1Te4_kesterite,2.19
Na2Sr1Sn1Te4_stannite,2.05
Na2Zn1Ge1S4_kesterite,3.64
Na2Zn1Ge1S4_stannite,2.59
Na2Zn1Ge1Se2Te2_kesterite,1.95
Na2Zn1Ge1Se2Te2_stannite,0.63
Na2Zn1Ge1Se4_kesterite,2.57
Na2Zn1Ge1Se4_stannite,1.58
Na2Zn1Ge1Te4_kesterite,1.56
Na2Zn1Ge1Te4_stannite,0.74
Na2Zn1Sn1S4_kesterite,3.15
Na2Zn1Sn1S4_stannite,2.54
Na2Zn1Sn1Se4_kesterite,2.3
Na2Zn1Sn1Se4_stannite,1.62
Na2Zn1Sn1Te4_kesterite,1.75
Na2Zn1Sn1Te4_stannite,0.85
Rb0.5Ag0.5Al0.5Ga0.5S1Se1_kesterite,2.37
Rb0.5Ag0.5Al0.5Ga0.5S1Se1_stannite,1.14
Rb0.5Ag0.5Al0.5Ga0.5S1Te1_kesterite,2.12
Rb0.5Ag0.5Al0.5Ga0.5S1Te1_stannite,0.49
Rb0.5Ag0.5Al0.5Ga0.5Se2_kesterite,1.98
Rb0.5Ag0.5Al0.5Ga0.5Se2_stannite,1.06
Rb0.5Ag0.5Al0.5Ga0.5Te2_kesterite,1.36
Rb0.5Ag0.5Al0.5Ga0.5Te2_stannite,0.67
Rb0.5Ag0.5Al0.5In0.5S1Se1_kesterite,2.3
Rb0.5Ag0.5Al0.5In0.5S1Se1_stannite,1.42
Rb0.5Ag0.5Al0.5In0.5Te2_kesterite,1.31
Rb0.5Ag0.5Al0.5In0.5Te2_stannite,0.79
Rb0.5Ag0.5Al1S1Te1_kesterite,2.31
Rb0.5Ag0.5Al1S1Te1_stannite,0.72
Rb0.5Ag0.5Al1S2_kesterite,3.34
Rb0.5Ag0.5Al1Te2_kesterite,1.85
Rb0.5Ag0.5Ga0.5In0.5S2_kesterite,2.22
Rb0.5Ag0.5Ga0.5In0.5S2_stannite,1.57
Rb0.5Ag0.5Ga0.5In0.5Te2_kesterite,1.05
Rb0.5Ag0.5Ga0.5In0.5Te2_stannite,0.52
Rb0.5Ag0.5Ga1S2_kesterite,2.68
Rb0.5Ag0.5Ga1Se1Te1_kesterite,1.34
Rb0.5Ag0.5Ga1Se1Te1_stannite,0.35
Rb0.5Ag0.5Ga1Te2_stannite,0.38
Rb0.5Ag1.5Sr0.5Cd0.5Ge1S1Se3_kesterite,1.72
Rb0.5Ag1.5Sr0.5Cd0.5Ge1S1Se3_stannite,1.04
Rb0.5Ag1.5Zn1Sn1S1Se3_kesterite,1.34
Rb0.5Ag1.5Zn1Sn1S1Se3_stannite,0.58
Rb0.5Cs0.5Ag1Ca0.5Zn0.5Sn0.5Ge0.5S2Se2_stannite,1.36
Rb0.5Cs0.5Ag1Ca0.5Zn0.5Sn0.5Ge0.5Se1Te3_stannite,0.63
Rb0.5Cs0.5Al0.5In0.5S2_kesterite,3.53
Rb0.5Cs0.5Al0.5In0.5Se1Te1_kesterite,2.4
Rb0.5Cs0.5Al0.5In0.5Se1Te1_stannite,0.7
Rb0.5Cs0.5Cu0.5Ag0.5Ba1Sn1S3Se1_kesterite,0.71
Rb0.5Cs0.5Cu0.5Ag0.5Ba1Sn1S3Se1_stannite,1.99
Rb0.5Cs0.5Cu0.5Ag0.5Ca1Ge1S2Se2_stannite,-0.22
Rb0.5Cs0.5Cu0.5Ag0.5Mg0.5Cd0.5Ge1S2Se1Te1_kesterite,1.54
Rb0.5Cs0.5Cu0.5Ag0.5Mg0.5Cd0.5Ge1S2Se1Te1_stannite,0.59
Rb0.5Cs0.5Ga0.5In0.5S2_kesterite,3.15
Rb0.5Cs0.5Ga0.5In0.5S2_stannite,2.17
Rb0.5Cs0.5In1S1Se1_kesterite,2.45
Rb0.5Cs0.5In1S1Se1_stannite,1.39
Rb0.5Cs0.5In1Se2_kesterite,2.14
Rb0.5Cs0.5In1Se2_stannite,1.53
Rb0.5Cs1Ag0.5Zn1Ge1S1Se3_kesterite,0.71
Rb0.5Cs1Ag0.5Zn1Ge1S1Se3_stannite,1.07
Rb0.5Cu0.5Ag1Ba0.5Cd0.5Sn0.5Ge0.5Se1Te3_kesterite,1.18
Rb0.5Cu0.5Ag1Ba0.5Cd0.5Sn0.5Ge0.5Se1Te3_stannite,0.6
Rb0.5Cu0.5Ag1Ca0.5Cd0.5Sn0.5Ge0.5Se1Te3_kesterite,1.06
Rb0.5Cu0.5Ag1Ca0.5Cd0.5Sn0.5Ge0.5Se1Te3_stannite,0.64
Rb0.5Cu0.5Ag1Ca1Sn1S2Te2_stannite,1.41
Rb0.5Cu0.5Ag1Mg0.5Sr0.5Ge1Se3Te1_stannite,0.81
Rb0.5Cu0.5Al0.5Ga0.5S1Se1_kesterite,-0.44
Rb0.5Cu0.5Al0.5Ga0.5S1Se1_stannite,1.19
Rb0.5Cu0.5Al0.5Ga0.5S1Te1_kesterite,1.91
Rb0.5Cu0.5Al0.5Ga0.5S1Te1_stannite,0.48
Rb0.5Cu0.5Al0.5Ga0.5S2_stannite,1.26
Rb0.5Cu0.5Al0.5Ga0.5Se1Te1_kesterite,1.23
Rb0.5Cu0.5Al0.5Ga0.5Se1Te1_stannite,0.65
Rb0.5Cu0.5Al0.5Ga0.5Se2_kesterite,1.27
Rb0.5Cu0.5Al0.5Ga0.5Se2_stannite,0.94
Rb0.5Cu0.5Al0.5Ga0.5Te2_kesterite,1.18
Rb0.5Cu0.5Al0.5Ga0.5Te2_stannite,0.76
Rb0.5Cu0.5Al0.5In0.5S1Te1_kesterite,1.54
Rb0.5Cu0.5Al0.5In0.5S1Te1_stannite,0.59
Rb0.5Cu0.5Al0.5In0.5S2_kesterite,2.2
Rb0.5Cu0.5Al0.5In0.5S2_stannite,1.62
Rb0.5Cu0.5Al1S1Se1_kesterite,0.72
Rb0.5Cu0.5Al1S1Se1_stannite,1.69
Rb0.5Cu0.5Al1S1Te1_kesterite,2.24
Rb0.5Cu0.5Al1S1Te1_stannite,0.72
Rb0.5Cu0.5Al1Se1Te1_kesterite,1.68
Rb0.5Cu0.5Al1Se1Te1_stannite,0.9
Rb0.5Cu0.5Ga0.5In0.5S1Te1_kesterite,1.65
Rb0.5Cu0.5Ga0.5In0.5S1Te1_stannite,0.41
Rb0.5Cu0.5Ga0.5In0.5Se1Te1_kesterite,1.03
Rb0.5Cu0.5Ga0.5In0.5Se2_kesterite,1.4
Rb0.5Cu0.5Ga0.5In0.5Se2_stannite,0.71
Rb0.5Cu0.5Ga1Te2_kesterite,1.16
Rb0.5Cu0.5Ga1Te2_stannite,0.47
Rb0.5Cu0.5In1S1Te1_stannite,0.53
Rb0.5Cu1.5Mg0.5Cd0.5Sn1S2Se2_kesterite,1.11
Rb0.5Cu1.5Mg0.5Cd0.5Sn1S2Se2_stannite,1.21
Rb0.5Cu1.5Sr0.5Cd0.5Ge1S3Te1_stannite,0.73
Rb0.5Cu1Ag0.5Ba1Ge1Se1Te3_kesterite,0.71
Rb0.5Cu1Ag0.5Ca0.5Ba0.5Sn0.5Ge0.5S3Se1_kesterite,-0.13
Rb0.5Cu1Ag0.5Ca0.5Ba0.5Sn0.5Ge0.5S3Se1_stannite,-0.15
Rb0.5Cu1Ag0.5Mg0.5Ba0.5Sn1S4_kesterite,-0.57
Rb0.5Cu1Ag0.5Mg0.5Ba0.5Sn1S4_stannite,1.58
Rb0.5Cu1Ag0.5Sr0.5Zn0.5Ge1S2Se1Te1_kesterite,1.17
Rb0.5Cu1Ag0.5Sr0.5Zn0.5Ge1S2Se1Te1_stannite,0.62
Rb1.5Ag0.5Ca0.5Sr0.5Sn1Se3Te1_kesterite,1.74
Rb1.5Ag0.5Ca0.5Sr0.5Sn1Se3Te1_stannite,1.07
Rb1.5Ag0.5Ca1Sn0.5Ge0.5S2Te2_stannite,1.67
Rb1.5Ag0.5Ca1Sn1Se2Te2_kesterite,1.97
Rb1.5Ag0.5Ca1Sn1Se2Te2_stannite,1.26
Rb1.5Ag0.5Mg0.5Ba0.5Sn1S1Se3_kesterite,2.33
Rb1.5Ag0.5Mg0.5Ba0.5Sn1S1Se3_stannite,0.99
Rb1.5Ag0.5Mg1Sn0.5Ge0.5S1Se1Te2_kesterite,1.89
Rb1.5Ag0.5Mg1Sn0.5Ge0.5S1Se1Te2_stannite,0.44
Rb1.5Cs0.5Ca0.5Zn0.5Ge1S2Te2_kesterite,2.4
Rb1.5Cu0.5Cd1Sn1S2Se1Te1_stannite,0.41
Rb1Ag1Mg0.5Sr0.5Ge1Se2Te2_kesterite,1.51
Rb1Ag1Mg0.5Sr0.5Ge1Se2Te2_stannite,0.85
Rb1Ag1Sr0.5Cd0.5Ge1S1Se1Te2_kesterite,1.29
Rb1Ag1Sr0.5Cd0.5Ge1S1Se1Te2_stannite,1
Rb1Ag1Zn0.5Cd0.5Sn0.5Ge0.5S3Se1_kesterite,2.08
Rb1Ag1Zn0.5Cd0.5Sn0.5Ge0.5S3Se1_stannite,1.15
Rb1Al0.5In0.5S1Te1_kesterite,2.65
Rb1Al1S1Se1_kesterite,4.19
Rb1Al1S2_kesterite,4.78
Rb1Al1S2_stannite,2.68
Rb1Al1Se1Te1_kesterite,3.02
Rb1Al1Se1Te1_stannite,0.87
Rb1Al1Se2_kesterite,3.59
Rb1Al1Se2_stannite,1.94
Rb1Al1Te2_kesterite,2.74
Rb1Al1Te2_stannite,1.36
Rb1Cs0.5Ag0.5Ca0.5Ba0.5Ge1Se4_kesterite,2.44
Rb1Cs0.5Ag0.5Ca0.5Ba0.5Ge1Se4_stannite,1.99
Rb1Cs1Ca0.5Sr0.5Ge1Te4_stannite,1.25
Rb1Cs1Mg0.5Ba0.5Ge1Te4_stannite,0.93
Rb1Cs1Sr0.5Zn0.5Sn0.5Ge0.5S1Se1Te2_stannite,0.7
Rb1Cu0.5Ag0.5Cd1Sn0.5Ge0.5S3Te1_stannite,0.4
Rb1Cu0.5Ag0.5Cd1Sn1S3Te1_stannite,0.42
Rb1Cu0.5Ag0.5Mg0.5Cd0.5Sn0.5Ge0.5S4_stannite,1.23
Rb1Cu0.5Ag0.5Mg0.5Sr0.5Ge1S3Se1_stannite,0.28
Rb1Cu0.5Ag0.5Mg0.5Zn0.5Sn1S3Se1_stannite,1.35
Rb1Cu0.5Ag0.5Sr0.5Cd0.5Sn0.5Ge0.5S3Te1_kesterite,1.8
Rb1Cu0.5Ag0.5Sr0.5Cd0.5Sn0.5Ge0.5S3Te1_stannite,0.67
Rb1Cu0.5Ag0.5Sr1Sn1S1Se3_kesterite,-0.75
Rb1Cu0.5Ag0.5Sr1Sn1S1Se3_stannite,0.93
Rb1Cu1Ba1Sn1S1Se3_stannite,1.76
Rb1Cu1Ca0.5Zn0.5Sn0.5Ge0.5S1Se1Te2_kesterite,1.06
Rb1Cu1Ca0.5Zn0.5Sn0.5Ge0.5S1Se1Te2_stannite,0.85
Rb1Ga1S1Se1_kesterite,3.04
Rb1Ga1S1Se1_stannite,1.16
Rb1Ga1S1Te1_kesterite,2.45
Rb1Ga1S1Te1_stannite,0.23
Rb1Ga1S2_kesterite,3.68
Rb1Ga1S2_stannite,2.17
Rb1Ga1Se2_kesterite,2.66
Rb1Ga1Se2_stannite,1.39
Rb1Ga1Te2_kesterite,1.88
Rb1Ga1Te2_stannite,0.67
Rb1In1S2_kesterite,2.93
Rb1In1S2_stannite,2.31
Rb1In1Se2_kesterite,2.13
Rb1In1Se2_stannite,1.58
Rb1In1Te2_kesterite,1.68
Rb1In1Te2_stannite,1
Rb2Ba1Ge1S4_kesterite,3.45
Rb2Ba1Ge1S4_stannite,2.91
Rb2Ba1Ge1Se4_kesterite,2.67
Rb2Ba1Ge1Se4_stannite,2.3
Rb2Ba1Ge1Te4_kesterite,1.51
Rb2Ba1Ge1Te4_stannite,1.65
Rb2Ba1Sn1S4_kesterite,3.34
Rb2Ba1Sn1S4_stannite,2.98
Rb2Ba1Sn1Se4_kesterite,2.78
Rb2Ba1Sn1Se4_stannite,2.37
Rb2Ba1Sn1Te4_kesterite,1.77
Rb2Ba1Sn1Te4_stannite,0.67
Rb2Ca1Ge1S4_kesterite,3.71
Rb2Ca1Ge1S4_stannite,2.76
Rb2Ca1Ge1Se4_kesterite,2.78
Rb2Ca1Ge1Se4_stannite,2.08
Rb2Ca1Ge1Te4_kesterite,1.57
Rb2Ca1Ge1Te4_stannite,1.42
Rb2Ca1Sn1S4_kesterite,3.76
Rb2Ca1Sn1S4_stannite,2.83
Rb2Ca1Sn1Se4_kesterite,2.99
Rb2Ca1Sn1Se4_stannite,2.15
Rb2Ca1Sn1Te4_kesterite,1.75
Rb2Ca1Sn1Te4_stannite,0.67
Rb2Cd1Ge1S4_kesterite,2.38
Rb2Cd1Ge1S4_stannite,1.46
Rb2Cd1Ge1Se4_kesterite,2.38
Rb2Cd1Ge1Se4_stannite,1.46
Rb2Cd1Ge1Te4_kesterite,1.72
Rb2Cd1Ge1Te4_stannite,0.89
Rb2Cd1Sn1S4_kesterite,2.9
Rb2Cd1Sn1S4_stannite,2.3
Rb2Cd1Sn1Se4_kesterite,2.17
Rb2Cd1Sn1Se4_stannite,1.58
Rb2Cd1Sn1Te4_kesterite,1.68
Rb2Cd1Sn1Te4_stannite,0.96
Rb2Mg1Ge1S4_kesterite,4.1
Rb2Mg1Ge1S4_stannite,2.42
Rb2Mg1Ge1Se4_kesterite,3.06
Rb2Mg1Ge1Se4_stannite,1.63
Rb2Mg1Ge1Te4_kesterite,1.67
Rb2Mg1Ge1Te4_stannite,1.03
Rb2Mg1Sn1S4_kesterite,3.6
Rb2Mg1Sn1S4_stannite,2.48
Rb2Mg1Sn1Se4_kesterite,2.75
Rb2Mg1Sn1Se4_stannite,1.74
Rb2Mg1Sn1Te4_kesterite,1.86
Rb2Mg1Sn1Te4_stannite,1.1
Rb2Sr1Ge1S4_kesterite,3.65
Rb2Sr1Ge1S4_stannite,2.85
Rb2Sr1Ge1Se4_kesterite,2.77
Rb2Sr1Ge1Se4_stannite,2.18
Rb2Sr1Ge1Te4_kesterite,1.54
Rb2Sr1Ge1Te4_stannite,1.53
Rb2Sr1Sn1S4_kesterite,3.56
Rb2Sr1Sn1S4_stannite,2.92
Rb2Sr1Sn1Se4_kesterite,2.88
Rb2Sr1Sn1Se4_stannite,2.25
Rb2Sr1Sn1Te4_kesterite,1.79
Rb2Sr1Sn1Te4_stannite,0.67
Rb2Zn1Ge1S4_kesterite,3.57
Rb2Zn1Ge1S4_stannite,2.07
Rb2Zn1Ge1Se4_kesterite,2.57
Rb2Zn1Ge1Se4_stannite,1.26
Rb2Zn1Ge1Te4_kesterite,1.6
Rb2Zn1Ge1Te4_stannite,0.56
Rb2Zn1Sn1S4_kesterite,3.08
Rb2Zn1Sn1S4_stannite,2.15
Rb2Zn1Sn1Se4_kesterite,2.29
Rb2Zn1Sn1Se4_stannite,1.4
Rb2Zn1Sn1Te4_kesterite,1.74
Rb2Zn1Sn1Te4_stannite,0.67